Animal ID,Animal Name,Animal Type,Sex,Years Old,Months Old,Primary Breed,Primary Color,Tag Number,Intake Date,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Outcome Date,Intake Day of the Week,Outcome Day of the Week
A010300,JACK,Dog,Neutered Male,0,2,PIT BULL,BROWN,076045832,10/16/2018,Stray,Animal Control,Return to Owner,Walk-In,10/16/2018,Tuesday,Tuesday
A010300,JACK,Dog,Neutered Male,0,2,PIT BULL,BROWN,L19-009115,02/14/2019,Confiscated,Animal Cruelty,Return to Owner,,02/19/2019,Thursday,Tuesday
A012591,KAVA,Dog,Spayed Female,0,2.5,PIT BULL,GRAY,076327828,11/15/2017,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,11/27/2017,Wednesday,Monday
A013379,LINDZEY,Dog,Spayed Female,0,4,LABRADOR RETR,TAN,003057888,06/03/2019,Owner Surrendered,Over the Counter,Euthanized,Create Space,06/18/2019,Monday,Tuesday
A015049,NEGRITA,Dog,Female,2,0,AUST SHEPHERD,TRICOLOR,L20-008269,12/18/2019,Confiscated,Nuisance,Return to Owner,,12/19/2019,Wednesday,Thursday
A015064,MANDY,Cat,Spayed Female,1,0,DOMESTIC SH,BRN TABBY,004067623,06/09/2022,Stray,Animal Control,Adoption,Walk-In,07/01/2022,Thursday,Friday
A015286,O'MALLEY,Cat,Neutered Male,1,0,DOMESTIC SH,ORG TABBY,L19-009667,01/24/2019,Stray,Over the Counter,Adoption,Referral,02/17/2019,Thursday,Sunday
A015497,RUSTY,Dog,Neutered Male,7,0,YORKSHIRE TERR,SILVER,L18-011091,03/03/2018,Owner Surrendered,Over the Counter,Adoption,Walk-In,04/02/2018,Saturday,Monday
A015497,RUSTY,Dog,Neutered Male,7,0,YORKSHIRE TERR,SILVER,L18-011091,10/14/2018,Euthanasia Request,Over the Counter,Euthanized,Age-Related,10/14/2018,Sunday,Sunday
A015809,AUPA,Dog,Male,3,0,LABRADOR RETR,BLACK,L13-003836,03/09/2019,Confiscated,Animal Cruelty,Euthanized,Condition Severe,03/13/2019,Saturday,Wednesday
A016620,HAM BONE,Dog,Neutered Male,3,0,BEAGLE,TRICOLOR,009290051,11/08/2018,Owner Surrendered,Over the Counter,Adoption,Walk-In,11/21/2018,Thursday,Wednesday
A016620,HAM BONE,Dog,Neutered Male,3,0,BEAGLE,TRICOLOR,009290051,06/26/2020,Transfer,Transfer,Euthanized,Illness Severe,07/17/2020,Friday,Friday
A016721,OLIVER,Dog,Neutered Male,11,0,BULL TERRIER,BLACK,981020031367936,07/26/2019,Owner Surrendered,Over the Counter,Euthanized,Condition Severe,08/11/2019,Friday,Sunday
A018477,RICKIE,Cat,Neutered Male,8,,DOMESTIC MH,WHITE,093890026,07/23/2020,Owner Surrendered,OTC APPT,Transfer,,08/04/2020,Thursday,Tuesday
A019004,ACE,Dog,Male,11,0,PIT BULL,TAN,05304,05/05/2018,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,05/15/2018,Saturday,Tuesday
A019531,STORMY,Cat,Neutered Male,0,4,DOMESTIC SH,GRAY TABBY,L18-011667,06/22/2018,Owner Surrendered,Over the Counter,Adoption,,07/29/2018,Friday,Sunday
A020029,COLBY,Dog,Neutered Male,4,0,LABRADOR RETR,BLACK,,03/24/2019,Stray,Animal Control,Return to Owner,Website Information,03/25/2019,Sunday,Monday
A021628,SHOTGUN,Dog,Neutered Male,0,5,LABRADOR RETR,CHOCOLATE,981020009902434,04/22/2019,Confiscated,Animal Cruelty,Return to Owner,,04/26/2019,Monday,Friday
A021628,SHOTGUN,Dog,Neutered Male,0,5,LABRADOR RETR,CHOCOLATE,981020009902434,07/09/2019,Confiscated,Animal Cruelty,Return to Owner,,07/20/2019,Tuesday,Saturday
A021628,SHOTGUN,Dog,Neutered Male,0,5,LABRADOR RETR,CHOCOLATE,981020009902434,04/22/2019,Confiscated,Animal Cruelty,Return to Owner,,04/26/2019,Monday,Friday
A021837,ROXY,Dog,Spayed Female,8,0,SHIBA INU,RED,091555585,02/22/2019,Stray,Animal Control,Return to Owner,Outside of Shelter,02/22/2019,Friday,Friday
A021890,HANNA,Cat,Spayed Female,0,10,DOMESTIC MH,GRAY,981020009897561,05/15/2019,Owner Surrendered,Over the Counter,Adoption,Walk-In,06/26/2019,Wednesday,Wednesday
A021890,HANNA,Cat,Spayed Female,0,10,DOMESTIC MH,GRAY,981020009897561,08/15/2021,Stray,Animal Control,Transfer,Private Animal Shelter,08/31/2021,Sunday,Tuesday
A022906,CHOCOLATE,Dog,Male,7,,DACHSHUND,BLACK,,03/16/2021,Stray,Animal Control,Return to Owner,Outside of Shelter,03/16/2021,Tuesday,Tuesday
A023000,CODY,Dog,Neutered Male,6,0,LABRADOR RETR,CHOCOLATE,981020009913869,04/26/2019,Stray,Animal Control,Return to Owner,Walk-In,04/27/2019,Friday,Saturday
A023245,CLAIRE,Cat,Spayed Female,0,4,DOMESTIC SH,WHITE,981020011130994,08/17/2018,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,08/25/2018,Friday,Saturday
A023387,TOBY,Dog,Neutered Male,2,6,BEAGLE,TRICOLOR,981020011097475,11/20/2021,Stray,Over the Counter,Return to Owner,Walk-In,11/20/2021,Saturday,Saturday
A023497,SNOOPY,Dog,Neutered Male,0,4,PIT BULL,WHITE,981020011137390,04/03/2019,Owner Surrendered,Over the Counter,Return to Owner,,04/03/2019,Wednesday,Wednesday
A023595,COLBY JACK,Cat,Neutered Male,0,18,DOMESTIC LH,ORG TABBY,981020011153820,11/20/2022,Disposal Request of Deceased Pet,Over the Counter,Disposal of Deceased Pet,,11/20/2022,Sunday,Sunday
A023641,PETE,Dog,Neutered Male,10,0,PARSON RUSS TER,WHITE,L19-008940,12/19/2018,Stray,Over the Counter,Return to Owner,Microchip,12/19/2018,Wednesday,Wednesday
A023641,PETE,Dog,Neutered Male,10,0,PARSON RUSS TER,WHITE,981020011109153,04/10/2020,Stray,Animal Control,Euthanized,Vet Clinic,04/10/2020,Friday,Friday
A023641,PETE,Dog,Neutered Male,10,0,PARSON RUSS TER,WHITE,981020011109153,12/16/2019,Stray,Over the Counter,Return to Owner,Microchip,12/16/2019,Monday,Monday
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,L18-010519,10/26/2018,Stray,Animal Control,Return to Owner,,10/26/2018,Friday,Friday
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,L19-008648,10/26/2018,Owner Surrendered,Over the Counter,Adoption,Walk-In,11/09/2018,Friday,Friday
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,L18-010519,03/29/2018,Stray,Over the Counter,Return to Owner,Walk-In,03/29/2018,Thursday,Thursday
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,L18-010519,03/29/2018,Owner Surrendered,Over the Counter,Return to Owner,,04/02/2018,Thursday,Monday
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,L18-010519,03/25/2018,Stray,Animal Control,Return to Owner,Walk-In,03/26/2018,Sunday,Monday
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,L19-008758,11/10/2018,Return,Over the Counter,Adoption,Walk-In,12/07/2018,Saturday,Friday
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,981020011412688,07/13/2018,Stray,Animal Control,Return to Owner,Microchip,07/13/2018,Friday,Friday
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,L18-010519,01/21/2018,Stray,Animal Control,Return to Owner,Microchip,01/22/2018,Sunday,Monday
A024485,ROXY,Dog,Spayed Female,4,0,AUST SHEPHERD,BROWN,981020011123059,03/31/2018,Owner Surrendered,Over the Counter,Adoption,Walk-In,04/07/2018,Saturday,Saturday
A024571,GINI,Cat,Spayed Female,0,1.2,DOMESTIC MH,WHITE,981020011893144,07/29/2018,Owner Surrendered,Over the Counter,Euthanized,Time and Space,08/02/2018,Sunday,Thursday
A024647,FAT FAT,Dog,Neutered Male,2,0,GERM SHEPHERD,TAN,981020011144039,02/07/2019,Stray,Animal Control,Return to Owner,Outside of Shelter,02/07/2019,Thursday,Thursday
A024850,ABBEY,Dog,Spayed Female,,,BLOODHOUND,BLACK,L18-011193,04/12/2018,Stray,Animal Control,Return to Owner,Walk-In,04/12/2018,Thursday,Thursday
A025048,BLUE,Cat,Neutered Male,2,0,DOMESTIC LH,GRAY,L19-010402,07/11/2019,Stray,Animal Control,Return to Owner,Microchip,07/12/2019,Thursday,Friday
A025248,AZURA,Dog,Female,2,0,SIBERIAN HUSKY,RED,L18-011325,05/10/2018,Stray,Animal Control,Return to Owner,Website Information,05/11/2018,Thursday,Friday
A025744,ECHO,Cat,Neutered Male,0,0,DOMESTIC SH,BRN TABBY,981020011900024,07/28/2021,Stray,Over the Counter,Return to Owner,Microchip,08/01/2021,Wednesday,Sunday
A025897,JUNIOR,Dog,Neutered Male,5,0,CHIHUAHUA SH,BLACK,981020011875264,05/15/2019,Owner Surrendered,Over the Counter,Transfer,Private Animal Shelter,05/17/2019,Wednesday,Friday
A025962,ALICE,Cat,Spayed Female,0,2,DOMESTIC SH,BLACK,981020011093699,08/08/2017,Owner Surrendered,Over the Counter,Adoption,Walk-In,12/03/2017,Tuesday,Sunday
A026698,CORA,Dog,Spayed Female,0,3,PIT BULL,BROWN,L19-008978,12/08/2018,Owner Surrendered,Over the Counter,Adoption,Walk-In,12/22/2018,Saturday,Saturday
A027073,HARLEY,Dog,Spayed Female,0,4,PIT BULL,CHOCOLATE,L18-010314,12/26/2017,Owner Surrendered,Over the Counter,Adoption,Walk-In,01/02/2018,Tuesday,Tuesday
A027284,TANK,Dog,Neutered Male,6,0,PIT BULL,BROWN,981020011897870,12/05/2017,Stray,Animal Control,Euthanized,Condition Minor,12/18/2017,Tuesday,Monday
A027399,MOOSHU,Cat,Neutered Male,1,0,DOMESTIC SH,ORG TABBY,981020011886609,10/09/2020,Owner Surrendered,Over the Counter,Adoption,Website Information,10/21/2020,Friday,Wednesday
A027731,SMOKEY,Cat,Neutered Male,16,0,DOMESTIC MH,GRAY,L18-011324,05/06/2018,Stray,Animal Control,Return to Owner,Phone Call,05/11/2018,Sunday,Friday
A028425,THADDEUS,Dog,Neutered Male,8,0,PARSON RUSS TER,BROWN,982000163727197,03/30/2019,Owner Surrendered,Over the Counter,Transfer,Private Animal Shelter,04/02/2019,Saturday,Tuesday
A028659,LUCKY,Dog,Neutered Male,2,0,AUST CATTLE DOG,TAN,985112000939965,10/12/2021,Owner Surrendered,Over the Counter,Adoption,Walk-In,10/20/2021,Tuesday,Wednesday
A028659,LUCKY,Dog,Neutered Male,2,0,AUST CATTLE DOG,TAN,985112000939965,07/19/2022,Stray,Over the Counter,Return to Owner,Walk-In,07/19/2022,Tuesday,Tuesday
A029100,CHARLIE,Dog,Neutered Male,17,,LABRADOR RETR,BROWN,981020013897270,01/14/2018,Euthanasia Request,Animal Control,Euthanized,Condition Severe,01/14/2018,Sunday,Sunday
A029453,KNIGHT,Cat,Neutered Male,0,0,DOMESTIC SH,BLACK,981020013504706,07/27/2018,Owner Surrendered,Over the Counter,Euthanized,Time and Space,07/31/2018,Friday,Tuesday
A029454,PHAROAH,Cat,Neutered Male,0,0,DOMESTIC SH,BLACK,981020013506621,07/27/2018,Owner Surrendered,Over the Counter,Euthanized,Time and Space,08/02/2018,Friday,Thursday
A030392,PETEY,Dog,Neutered Male,3,0,MASTIFF,TAN,981020013521487,08/20/2018,Stray,Animal Control,Euthanized,Behavior Manageable,09/04/2018,Monday,Tuesday
A030585,MARLEY,Dog,Neutered Male,10,0,MIN PINSCHER,BLACK,444C774539,02/16/2018,Owner Surrendered,Animal Control,Euthanized,Age-Related,02/17/2018,Friday,Saturday
A030626,CHI CHI,Dog,Spayed Female,0,0,SHIH TZU,GRAY,981020013536322,02/23/2019,Return,Over the Counter,Transfer,Rescue Group,02/28/2019,Saturday,Thursday
A030626,CHI CHI,Dog,Spayed Female,0,0,SHIH TZU,GRAY,981020013536322,01/29/2019,Owner Surrendered,Over the Counter,Adoption,Walk-In,02/13/2019,Tuesday,Wednesday
A030626,CHI CHI,Dog,Spayed Female,0,0,SHIH TZU,GRAY,981020013536322,02/19/2019,Return,Over the Counter,Adoption,Walk-In,02/21/2019,Tuesday,Thursday
A030907,FREYJA,Cat,Spayed Female,1,6,DOMESTIC SH,WHITE,981020011465705,11/16/2019,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,11/19/2019,Saturday,Tuesday
A031059,BLONDIE,Dog,Spayed Female,7,0,CHIHUAHUA SH,BROWN,,04/05/2019,Stray,Animal Control,Return to Owner,,04/06/2019,Friday,Saturday
A031325,LUCY DEW,Cat,Spayed Female,0,2,DOMESTIC SH,GRAY,981020015411372,09/28/2018,Owner Surrendered,Over the Counter,Transfer,Private Animal Shelter,12/04/2018,Friday,Tuesday
A032108,BUDDY,Dog,Neutered Male,2,0,BEAGLE,TRICOLOR,L18-011058,03/16/2018,Owner Surrendered,Over the Counter,Adoption,Walk-In,03/24/2018,Friday,Saturday
A032108,BUDDY,Dog,Neutered Male,2,0,BEAGLE,TRICOLOR,L18-011139,03/25/2018,Return,Over the Counter,Adoption,Walk-In,04/04/2018,Sunday,Wednesday
A032317,DAISY,Dog,Spayed Female,0,0,MALTESE,WHITE,L19-008605,10/24/2018,Stray,Animal Control,Return to Owner,,11/02/2018,Wednesday,Friday
A032359,CHARLIE,Dog,Neutered Male,5,0,SHIH TZU,TRICOLOR,981020015431304,05/22/2022,Owner Surrendered,OTC APPT,Transfer,Rescue Group,05/23/2022,Sunday,Monday
A032849,PUNKY,Dog,Spayed Female,5,0,BORDER TERRIER,BLACK,0A115E0147,09/08/2018,Owner Surrendered,Over the Counter,Transfer,Private Animal Shelter,09/11/2018,Saturday,Tuesday
A033261,SERAPHINA,Cat,Spayed Female,0,6,DOMESTIC SH,ORG TABBY,981020015873564,09/17/2022,Stray,Over the Counter,Return to Owner,Outside of Shelter,09/17/2022,Saturday,Saturday
A033410,DAISY,Dog,Spayed Female,1,0,WELSH CORGI PEM,TRICOLOR,956000003894870,07/24/2018,Owner Surrendered,Over the Counter,Adoption,Walk-In,08/07/2018,Tuesday,Tuesday
A033451,TIGGER,Dog,Neutered Male,4,0,PIT BULL,RED,981020019594636,09/18/2022,Stray,Animal Control,Return to Owner,Outside of Shelter,09/18/2022,Sunday,Sunday
A033568,SAGE,Dog,Spayed Female,0,7,MASTIFF,BL BRINDLE,981020015589983,08/25/2021,Owner Surrendered,OTC APPT,Transfer,Private Animal Shelter,09/25/2021,Wednesday,Saturday
A034062,PEIRSTIN,Dog,Neutered Male,13,,COCKER SPAN,TAN,981020039162714,05/23/2021,Owner Surrendered,OTC APPT,Adoption,Walk-In,05/23/2021,Sunday,Sunday
A034209,COCO,Dog,Neutered Male,3,0,CAIRN TERRIER,BLACK,981020025201905,12/22/2018,Owner Surrendered,Over the Counter,Adoption,Walk-In,12/28/2018,Saturday,Friday
A034301,CHEVELLE,Dog,Spayed Female,2,6,PIT BULL,GRAY,981020021539392,06/21/2021,Stray,Over the Counter,Return to Owner,,06/21/2021,Monday,Monday
A034432,JADE,Dog,Spayed Female,0,0,YORKSHIRE TERR,BLACK,956000004592680,07/24/2018,Stray,Animal Control,Return to Owner,Walk-In,07/25/2018,Tuesday,Wednesday
A034591,HOPE,Dog,Spayed Female,0,0,LABRADOR RETR,TAN,981020015414172,11/22/2017,Owner Surrendered,Over the Counter,Adoption,Website Information,11/28/2017,Wednesday,Tuesday
A034591,HOPE,Dog,Spayed Female,0,0,LABRADOR RETR,TAN,981020015414172,11/29/2017,Return,Over the Counter,Adoption,Walk-In,12/01/2017,Wednesday,Friday
A034591,HOPE,Dog,Spayed Female,0,0,LABRADOR RETR,TAN,981020015414172,02/22/2018,Return,Over the Counter,Adoption,Walk-In,02/24/2018,Thursday,Saturday
A034621,LUCY BRYANT,Dog,Spayed Female,7,6,BEAGLE,TRICOLOR,L18-011871,02/21/2019,Stray,Animal Control,Return to Owner,Outside of Shelter,02/21/2019,Thursday,Thursday
A034621,LUCY BRYANT,Dog,Spayed Female,7,6,BEAGLE,TRICOLOR,L18-011872,08/31/2018,Stray,Animal Control,Return to Owner,,09/05/2018,Friday,Wednesday
A034621,LUCY BRYANT,Dog,Spayed Female,7,6,BEAGLE,TRICOLOR,,12/28/2020,Disposal Request of Deceased Pet,Over the Counter,Disposal of Deceased Pet,,12/28/2020,Monday,Monday
A034715,PRINCETON,Dog,Neutered Male,5,6,PIT BULL,TAN,L18-011212,04/14/2018,Stray,Over the Counter,Return to Owner,Phone Call,04/16/2018,Saturday,Monday
A034892,CHIEF,Dog,Neutered Male,1,6,GERM SHEPHERD,BLACK,981020013225818,07/05/2019,Stray,Over the Counter,Return to Owner,Microchip,07/05/2019,Friday,Friday
A034892,CHIEF,Dog,Neutered Male,1,6,GERM SHEPHERD,BLACK,L18-010071,12/14/2017,Stray,Over the Counter,Return to Owner,Walk-In,12/15/2017,Thursday,Friday
A034892,CHIEF,Dog,Neutered Male,1,6,GERM SHEPHERD,BLACK,981020013225818,05/16/2022,Stray,Animal Control,Return to Owner,Outside of Shelter,05/16/2022,Monday,Monday
A034964,COCO,Dog,Spayed Female,4,0,PARSON RUSS TER,BROWN,981020017490723,01/07/2020,Confiscated,Owner Death,Return to Owner,,01/09/2020,Tuesday,Thursday
A034964,COCO,Dog,Spayed Female,4,0,PARSON RUSS TER,BROWN,L20-008513,01/09/2020,Owner Surrendered,Over the Counter,Adoption,Walk-In,01/09/2020,Thursday,Thursday
A035019,KYNG KENO,Dog,Neutered Male,5,0,POODLE MIN,WHITE,981020017541396,03/04/2020,Stray,Over the Counter,Return to Owner,,03/05/2020,Wednesday,Thursday
A035019,KYNG KENO,Dog,Neutered Male,5,0,POODLE MIN,WHITE,981020017541396,07/07/2021,Stray,Over the Counter,Return to Owner,,07/08/2021,Wednesday,Thursday
A035228,GENERAL TSO,Cat,Neutered Male,0,1,DOMESTIC SH,BUFF,981020017541455,03/09/2018,Stray,Over the Counter,Return to Owner,Microchip,03/12/2018,Friday,Monday
A035230,PADDINGTON,Cat,Neutered Male,0,1,DOMESTIC SH,ORG TABBY,981020017528808,03/09/2018,Stray,Over the Counter,Return to Owner,Microchip,03/12/2018,Friday,Monday
A035230,PADDINGTON,Cat,Neutered Male,0,1,DOMESTIC SH,ORG TABBY,981020017528808,07/13/2021,Foster,Over the Counter,Adoption,Walk-In,07/13/2021,Tuesday,Tuesday
A035230,PADDINGTON,Cat,Neutered Male,0,1,DOMESTIC SH,ORG TABBY,981020017528808,07/02/2021,Stray,Over the Counter,Foster,FINDER,07/02/2021,Friday,Friday
A035232,MAGNUS BANE,Cat,Neutered Male,0,1,DOMESTIC SH,ORG TABBY,L18-011116,03/16/2018,Owner Surrendered,Over the Counter,Adoption,Walk-In,03/31/2018,Friday,Saturday
A035314,BOLT,Dog,Neutered Male,3,0,POODLE MIN,BLACK,010604,11/24/2020,Foster,Over the Counter,Adoption,Walk-In,11/24/2020,Tuesday,Tuesday
A035314,BOLT,Dog,Neutered Male,3,0,POODLE MIN,BLACK,,10/21/2020,Stray,Animal Control,Return to Owner,,10/22/2020,Wednesday,Thursday
A035314,BOLT,Dog,Neutered Male,3,0,POODLE MIN,BLACK,010604,10/22/2020,Owner Surrendered,Over the Counter,Foster,,11/13/2020,Thursday,Friday
A035333,HANDSOME,Cat,Neutered Male,0,1,DOMESTIC SH,ORG TABBY,91020017521406,09/04/2020,Owner Surrendered,Over the Counter,Transfer,,09/17/2020,Friday,Thursday
A035880,GREY,Dog,Neutered Male,1,0,LABRADOR RETR,WHITE,981020017541610,09/04/2019,Stray,Animal Control,Return to Owner,Outside of Shelter,09/04/2019,Wednesday,Wednesday
A035992,JULIA,Cat,Spayed Female,0,1,DOMESTIC SH,BRN TABBY,981020017687582,12/09/2019,Stray,Animal Control,Adoption,Walk-In,12/27/2019,Monday,Friday
A035992,JULIA,Cat,Spayed Female,0,1,DOMESTIC SH,BRN TABBY,L20-008564,01/04/2020,Return,Over the Counter,Adoption,Walk-In,01/14/2020,Saturday,Tuesday
A036325,RAMBLER,Dog,Neutered Male,3,0,BEAGLE,TRICOLOR,,06/26/2018,Stray,Over the Counter,Return to Owner,Website Information,06/26/2018,Tuesday,Tuesday
A036641,BENJAMIN,Dog,Neutered Male,11,0,LABRADOR RETR,CREAM,000552,06/28/2018,Euthanasia Request,Over the Counter,Euthanized,Age-Related,06/28/2018,Thursday,Thursday
A036695,GADJET,Dog,Neutered Male,3,0,PIT BULL,TAN,981020017674049,05/07/2019,Stray,Animal Control,Return to Owner,Outside of Shelter,05/07/2019,Tuesday,Tuesday
A036721,SKY,Cat,Spayed Female,0,1,DOMESTIC SH,GRAY,981020017628821,12/17/2017,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,12/19/2017,Sunday,Tuesday
A036759,WILLOW,Dog,Spayed Female,2,0,IRISH TERRIER,BLACK,L18-010844,02/18/2018,Confiscated,,Return to Owner,,02/22/2018,Sunday,Thursday
A036967,MARTA,Dog,Spayed Female,3,0,PARSON RUSS TER,BLACK,L19-010033,04/05/2019,Owner Surrendered,Over the Counter,Adoption,Walk-In,04/12/2019,Friday,Friday
A036995,KINGSTON,Cat,Neutered Male,0,3,DOMESTIC SH,GRAY,L18-010517,01/13/2018,Owner Surrendered,Over the Counter,Adoption,Walk-In,01/21/2018,Saturday,Sunday
A036995,KINGSTON,Cat,Neutered Male,0,3,DOMESTIC SH,GRAY,981020017699558,05/10/2019,Owner Surrendered,Over the Counter,Adoption,Walk-In,05/13/2019,Friday,Monday
A037044,SHADOW,Cat,Spayed Female,0,0,DOMESTIC SH,GRAY,981020017651743,03/14/2019,Owner Surrendered,Over the Counter,Adoption,Walk-In,04/09/2019,Thursday,Tuesday
A037120,STACY,Dog,Spayed Female,2,0,LABRADOR RETR,BLACK,981020017870453,07/20/2018,Stray,Animal Control,Adoption,Walk-In,08/01/2018,Friday,Wednesday
A037318,MARCO,Cat,Neutered Male,0,1,DOMESTIC SH,ORG TABBY,981020017639241,07/08/2019,Owner Surrendered,Over the Counter,Adoption,Walk-In,09/20/2019,Monday,Friday
A037671,MAXWELL,Dog,Neutered Male,0,8,BEAGLE,BR BRINDLE,0A02197057,03/02/2018,Stray,Over the Counter,Return to Owner,Walk-In,03/05/2018,Friday,Monday
A038151,ROXY,Cat,Spayed Female,0,1.4,DOMESTIC SH,BRN TABBY,981020019555872,08/08/2019,Stray,Animal Control,Euthanized,Behavior Severe,08/21/2019,Thursday,Wednesday
A038190,CINNAMON,Dog,Spayed Female,5,0,LABRADOR RETR,RED,981020019511421,02/06/2020,Owner Surrendered,Over the Counter,Adoption,Walk-In,03/01/2020,Thursday,Sunday
A038190,CINNAMON,Dog,Spayed Female,5,0,LABRADOR RETR,RED,L19-008741,11/20/2018,Owner Surrendered,Over the Counter,Adoption,Website Information,12/04/2018,Tuesday,Tuesday
A038274,LADY,Dog,Female,4,,PIT BULL,WHITE,02014,07/02/2018,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,07/04/2018,Monday,Wednesday
A038508,LITTLE MAMA,Cat,Spayed Female,0,2.8,DOMESTIC SH,BLACK,L19-010394,06/04/2019,Owner Surrendered,Over the Counter,Adoption,Walk-In,07/09/2019,Tuesday,Tuesday
A038698,CRESCENT,Cat,Spayed Female,1,0,DOMESTIC SH,TORBIE,981020019486179,11/14/2021,Stray,Over the Counter,Adoption,Walk-In,11/27/2021,Sunday,Saturday
A038764,LEO,Dog,Neutered Male,2,0,SHIH TZU,CREAM,L19-009131,12/29/2018,Stray,Animal Control,Return to Owner,Walk-In,01/07/2019,Saturday,Monday
